設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A1] Over the counter〈OTC〉検査で実施されるのはどれか。2つ選べ。,血糖,尿蛋白,中性脂肪,HIV抗体,尿中hCG,"2,5",,臨床検査総論,第70回(2024),普通
[A2] 検査項目と採血管の添加物の組合せで正しいのはどれか。2つ選べ。,PT — EDTA-2Na,ALP — EDTA-2K,血糖 — フッ化ナトリウム,赤沈 — クエン酸溶液,血小板数 — ヘパリンリチウム,"3,4",,臨床検査総論,第70回(2024),普通
[A3] 精度管理法で正しいのはどれか。,精密さは真の値からの偏りの程度をいう。,マルチルール管理図法は患者検体を用いる。,2シグマ法での管理では統計学的に10回に1回は外れ値が出現する。,管理試料の測定値が3点連続して上昇傾向を示した場合をシフト現象という。,X（bar）-R管理図法のRは日内の管理試料の測定値の最大値と最小値の差である。,5,,臨床検査総論,第70回(2024),普通
[A4] 免疫学的便潜血検査で正しいのはどれか。,検体採取前は食事制限をする。,採取後の検体は室温で保存する。,化学的測定法より検出感度が低い。,胃がんのスクリーニング検査である。,便のこすり方は検出率に影響を与える。,5,,臨床検査総論,第70回(2024),普通
[A5] 精液検査で正しいのはどれか。,2日間連続して採取する。,検体採取後は冷蔵で保存する。,精子濃度測定は採取後10分以内に行う。,運動率の測定は採取後1時間以内に行う。,精子濃度の基準範囲は150万/mL以上である。,4,,臨床検査総論,第70回(2024),普通
[A6] 回虫卵（受精卵）より大きい虫卵はどれか。,肝蛭卵,鞭虫卵,肝吸虫卵,無鉤条虫卵,横川吸虫卵,1,,臨床検査総論,第70回(2024),普通
[A7] 寄生虫と中間宿主の組合せで正しいのはどれか。,肝吸虫 — イカ,単包条虫 — イヌ,宮崎肺吸虫 — サワガニ,日本住血吸虫 — サケ,日本海裂頭条虫 — ブタ,3,,臨床検査総論,第70回(2024),普通
[A8] 正確度の確認方法はどれか。2つ選べ。,機種間差の確認,室内精度の確認,標準物質の測定,標準法との比較,併行精度の確認,"3,4",,臨床検査総論,第70回(2024),普通
[A9] 糞便の性状と疾患の組合せで正しいのはどれか。,緑色便 — 総胆管結石,灰白色便 — MRSA腸炎,タール便 — コレラ,米の研ぎ汁様便 — カンピロバクター腸炎,いちごゼリー状便 — アメーバ赤痢,5,,臨床検査総論,第70回(2024),普通
[A10] 尿沈渣の無染色標本とSternheimer染色標本を別に示す。この構造物はどれか。【別冊No.1A・B 図】,硝子円柱,顆粒円柱,上皮円柱,赤血球円柱,白血球円柱,4,,臨床検査総論,第70回(2024),普通
[A11] Addison病で高値を示すのはどれか。2つ選べ。,血中ACTH,血清カリウム,血清ナトウム,血中コルチゾール,尿中17-KS〈17-ケトステロイド〉,"1,2",,臨床検査医学総論,第70回(2024),普通
[A12] 悪性中皮腫の胸水で高値を示すのはどれか。,ADA,C E A,SP-D,アミラーゼ,ヒアルロン酸,5,,臨床検査医学総論,第70回(2024),普通
[A13] リンパ腫の原因となるのはどれか。,サイトメガロウイルス,単純ヘルペスウイルス,ヒトT細胞白血病ウイルス1型,ヒトパピローマウイルス,ヒトパルボウイルスB19,3,,臨床検査医学総論,第70回(2024),普通
[A14] 欠乏により巨赤芽球性貧血をきたすのはどれか。,ビタミンA,ビタミンB12,ビタミンC,ビタミンD,ビタミンE,2,,臨床検査医学総論,第70回(2024),普通
[A15] 血清コリンエステラーゼ活性が低下するのはどれか。,一酸化炭素中毒,水銀中毒,青酸〈シアン〉中毒,鉛中毒,有機リン中毒,5,,臨床検査医学総論,第70回(2024),普通
[A16] 僧帽弁が閉じてから大動脈弁が開くまでの心時相はどれか。,急速流入期,駆出期,心房収縮期,等容弛緩期,等容収縮期,5,,臨床生理学,第70回(2024),普通
[A17] 標準12誘導心電図を別に示す。所見はどれか。【別冊No.2 図】,右脚ブロック,左脚ブロック,Ⅲ度房室ブロック,MobitzⅡ型房室ブロック,Wenckebach型房室ブロック,5,,臨床生理学,第70回(2024),普通
[A18] ホルター心電図の誘導部位を別に示す。NASA誘導の陽極はどれか。【別冊No.3 図】,①,②,③,④,⑤,4,,臨床生理学,第70回(2024),普通
[A19] 残気量を求めるために行う検査はどれか。2つ選べ。,肺活量測定,最大換気量測定,努力肺活量測定,機能的残気量測定,クロージングボリューム測定,"1,4",,臨床生理学,第70回(2024),普通
[A20] 呼吸機能検査の結果とフローボリューム曲線を別に示す。考えられる状態はどれか。【別冊No.4A・B 図】,肺切除後,気管支喘息,間質性肺炎,慢性閉塞性肺疾患〈COPD〉,筋萎縮性側索硬化症による呼吸筋障害,3,,臨床生理学,第70回(2024),普通
[A21] 正常な神経細胞の静止膜電位［mV］はどれか。,＋30,0,−50,−70,−100,4,,臨床生理学,第70回(2024),普通
[A22] 手の筋力低下を認める患者における正中神経の運動神経伝導検査の記録を別に示す。誤っているのはどれか。なお、図中の破線は正常波形を示す。【別冊No.5 図】,遠位潜時延長,伝導速度低下,伝導ブロック,異常な時間的分散,複合筋活動電位振幅低下,1,,臨床生理学,第70回(2024),普通
[A23] 健常成人の脳波でみられるα波で正しいのはどれか。,開眼で抑制される。,振幅は一定である。,前頭部に優位である。,精神的負荷で増強する。,加齢で周波数が高くなる。,1,,臨床生理学,第70回(2024),普通
[A24] 超音波検査で誤っているのはどれか。,周波数1〜20 MHzの超音波が用いられる。,距離分解能は超音波の周波数が高いほどよい。,連続波ドプラ法は高速血流の測定に適している。,深部の描出は超音波の周波数が高いほど有利になる。,方位分解能は電子フォーカスによるビーム集束で向上する。,4,,臨床生理学,第70回(2024),普通
[A25] 心尖部長軸断面の連続波ドプラ波形を別に示す。狭窄前後の最大圧較差はどれか。【別冊No.6 図】,16 mmHg,32 mmHg,64 mmHg,80 mmHg,96 mmHg,3,,臨床生理学,第70回(2024),普通
[A26] 心窩部斜走査による上腹部の超音波像を別に示す。矢印で示すのはどれか。【別冊No.7 図】,肝動脈,大動脈,下大静脈,肝外胆管,門脈本幹,3,,臨床生理学,第70回(2024),普通
[A27] 下肢静脈超音波検査で大腿静脈に可動性を有する血栓を認めた。対応で正しいのはどれか。,面積狭窄率を求める。,ミルキング法で血流を確認する。,総腸骨静脈まで血栓範囲を確認する。,圧迫法を強く行いながら血流を確認する。,パルスドプラ法にて血栓部分の最高流速を測定する。,3,,臨床生理学,第70回(2024),普通
