設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A1] 原子番号がZ、質量数がAの核種について、放射性壊変の形式と壊変によるZとAの変化との組合せで正しいのはどれか。2つ選べ。,α壊変 — Z，A,β＋壊変 — Z安1，A,β−壊変 — Z＋1，A,核異性体転移 — Z安1，A,軌道電子捕獲 — Z安2，A安4 99,"2,3",,診療画像検査学,第68回(2016),普通
[A2] Mo-99mTcジェネレータで正しいのはどれか。2つ選べ。,永続平衡が成立する。,ミルキングによって99Moが溶出する。,吸着剤として陽イオン交換樹脂を用いる。,ジェネレータ内で娘核種の放射能は極大値を示す。,放射平衡に達すると親核種と娘核種の放射能比は一定となる。,"4,5",,診療画像検査学,第68回(2016),普通
[A3] 放射化学分離で正しいのはどれか。,ラジオコロイドはイオン交換樹脂に吸着する。,保持担体は目的以外の放射性核種を溶液から除く役割をする。,スカベンジャは共存する放射性核種を溶液に残す役割をする。,比放射能は元素または化合物の単位容積当たりの放射能である。,共沈法では目的放射性核種に類似する化学的性質の非同位体担体を用いる。,5,,診療画像検査学,第68回(2016),普通
[A4] PET薬剤の合成で正しいのはどれか。,17Oを用いて標識化合物の合成を行う。,15Oは標識化合物の合成が不可能である。,18F-FDGはフルクトースの誘導体である。,標識合成は短時間で効率良く行わなければならない。,18F-FDGの合成方法には18O−イオンを用いるイオン法がある。,4,,診療画像検査学,第68回(2016),普通
[A5] インバータ式X線装置で正しいのはどれか。2つ選べ。,インバータ周波数が高いほど高電圧変圧器の鉄損が減少する。,電源周期と無関係にX線を発生および遮断することができる。,直列共振回路で流れる電流は共振周波数をピークとした山形となる。,DC-DCコンバータは非共振形インバータ式X線装置には不要である。,インバータ周波数が高いほど単位時間当たりのスイッチング損失は減少する。,"2,3",,診療画像検査学,第68回(2016),普通
[A6] 焦点外X線で正しいのはどれか。,焦点近傍で最も多く発生する。,線質は焦点近傍ほど硬質となる。,X線写真のコントラストを向上させる。,集束電極で集束されなかった電子によって生じる。,発生する量は固定陽極の方が回転陽極よりも多い。,1,,診療画像検査学,第68回(2016),普通
[A7] X線高電圧装置でフィードバック制御を行うのはどれか。,自己整流X線装置,インバータ式X線装置,コンデンサ式X線装置,単相2ピーク形X線装置,三相12ピーク形X線装置,2,,診療画像検査学,第68回(2016),普通
[A8] I. I.の性能表示で正しいのはどれか。2つ選べ。,変換係数,最大輝度,時間分解能,輝度均一性,量子検出効率,"1,5",,診療画像検査学,第68回(2016),普通
[A9] 超音波画像診断装置の探触子の構成部品でないのはどれか。,振動子,整合層,音響レンズ,パッキング材,光電子増倍管,5,,診療画像検査学,第68回(2016),普通
[A10] デジタル検出器で正しいのはどれか。,量子化を行った後に標本化を行う。,FPDとCRの画像性能を比較するのにDQEを用いる。,直接変換方式FPDではアモルファスシリコンで電荷に変換する。,間接変換方式FPDではシンチレータの厚みは50 μm程度である。,CRでは読み取り終了後、赤外光を照射して残存データを消去する。,2,,診療画像検査学,第68回(2016),普通
[A11] X線CT装置で検出器の出力を最初に受け取るのはどれか。,PACS,画像処理装置,再構成演算装置,画像データ保存装置,データ収集システムkDASl,5,,核医学検査技術学,第68回(2016),普通
